item_id,text_ar,type,dimension_tags,difficulty,time_limit_seconds,max_score,correct_answer,options
I135,أي من هذه القيم تمثل أولويتك العليا؟,MCQ,الأخلاق,3,30,1,النزاهة,النزاهة|الصدق|المال|المكانة
I136,ما هو أسلوبك المفضل في العمل؟,MCQ,القيادة,3,30,1,العمل الجماعي,العمل الجماعي|العمل الفردي|الإدارة|التجريب
I137,أي من هذه الصفات تراها الأهم في القائد؟,MCQ,القيادة,3,30,1,العدل,العدل|الحزم|الذكاء|التواصل
I138,ما هو العامل الأهم لنجاح الفريق؟,MCQ,التعاون,3,30,1,التواصل,التواصل|التنظيم|الموارد|الإبداع
I139,أي من هذه الأنشطة يقلل من توترك أكثر؟,MCQ,الصحة النفسية,3,30,1,الرياضة,الرياضة|النوم|التأمل|الموسيقى
I140,أي من هذه المجالات ترغب في استكشافها أكثر؟,MCQ,التطوير الشخصي,3,30,1,التكنولوجيا,التكنولوجيا|التاريخ|الأدب|العلوم
I141,صف موقفاً أظهرت فيه قيادة قوية.,Text,القيادة,4,90,5,,
I142,اشرح كيف تواجه ضغوط العمل.,Text,الصحة النفسية,4,90,5,,
I143,صف طريقة ابتكرت بها حلاً لمشكلة.,Text,الإبداع,4,90,5,,
I144,اشرح كيف تبني الثقة مع فريقك.,Text,التعاون,4,90,5,,
I145,صف موقفاً تعلمت فيه من خطأ.,Text,التعلم الذاتي,4,90,5,,
I146,اشرح كيف تحافظ على توازنك بين حياتك الشخصية والعملية.,Text,الصحة النفسية,4,90,5,,
I147,صف كيف تلهم الآخرين من حولك.,Text,القيادة,4,90,5,,
I148,اشرح موقفاً طبقت فيه مهارة الإصغاء الفعّال.,Text,الذكاء العاطفي,4,90,5,,
I149,صف هدفاً شخصياً تعمل لتحقيقه حالياً.,Text,الطموح,4,90,5,,
I150,اشرح كيف تحفّز نفسك في الأوقات الصعبة.,Text,الدافعية,4,90,5,,
I151,رتب هذه الخطوات لاتخاذ قرار مهم: جمع المعلومات، تحديد المشكلة، تنفيذ القرار، تقييم النتائج.,ORDERING,حل المشكلات,3,60,5,1|2|3|4,
I152,رتب هذه القيم من الأكثر أهمية إلى الأقل: الصدق، التعاون، الإبداع، المال.,ORDERING,الأخلاق,3,60,5,1|2|3|4,
I153,رتب هذه الخطوات لبناء فريق ناجح: وضع الأهداف، اختيار الأعضاء، متابعة الأداء، توزيع المهام.,ORDERING,القيادة,3,60,5,2|4|1|3,
I154,رتب هذه المراحل لتعلم مهارة جديدة: التدريب العملي، الممارسة المستمرة، الفهم النظري، التطبيق.,ORDERING,التعلم الذاتي,3,60,5,3|1|4|2,
I155,رتب هذه الأنشطة اليومية حسب أولويتها: النوم، العمل، الأكل، الترفيه.,ORDERING,الصحة الجسدية,3,60,5,1|2|3|4,
I156,رتب هذه العوامل لنجاح مشروع: التخطيط، التنفيذ، التواصل، التقييم.,ORDERING,التنظيم,3,60,5,1|2|3|4,
I157,رتب هذه المشاعر من الأكثر إيجابية إلى الأقل: التفاؤل، الثقة، الحماس، الغضب.,ORDERING,الذكاء العاطفي,3,60,5,1|2|3|4,
I158,رتب هذه الخطوات لإدارة وقتك: تحديد الأولويات، مراجعة الخطة، تنفيذ المهام، تقسيم العمل.,ORDERING,التنظيم,3,60,5,1|4|3|2,
I159,رتب هذه العوامل لتحفيز الموظفين: المكافآت، بيئة العمل، التقدير، فرص التطوير.,ORDERING,الدافعية,3,60,5,1|3|4|2,
I160,رتب هذه المراحل في حل النزاعات: الحوار، البحث عن الحل، تحديد المشكلة، التوصل لاتفاق.,ORDERING,حل المشكلات,3,60,5,3|1|2|4,
I161,إذا كان لديك 5 تفاحات وأكلت 2، كم يتبقى؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,3,
I162,إذا كان لديك 6 تفاحات وأكلت 2، كم يتبقى؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,4,
I163,إذا كان لديك 7 تفاحات وأكلت 2، كم يتبقى؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,5,
I164,ما أكبر دولة في العالم من حيث المساحة؟,MCQ,المعرفة الجغرافية,2,30,1,روسيا,روسيا|الصين|كندا|الولايات المتحدة
I165,ما هي عاصمة كندا؟,MCQ,المعرفة الجغرافية,2,30,1,أوتاوا,أوتاوا|تورونتو|مونتريال|فانكوفر
I166,من هو مؤسس علم النفس الحديث؟,MCQ,المعرفة العامة,3,30,1,سيغموند فرويد,سيغموند فرويد|كارل يونغ|أدلر|بياجيه
I167,ما هو الكوكب الأحمر؟,MCQ,المعرفة العلمية,1,20,1,المريخ,المريخ|الزهرة|الأرض|المشتري
I168,اشرح موقفاً تعلمت فيه من الفشل.,Text,التعلم الذاتي,4,90,5,,
I169,اشرح كيف تبني الثقة مع زملائك.,Text,التعاون,4,90,5,,
I170,صف موقفاً طبقت فيه إبداعك لحل مشكلة.,Text,الإبداع,4,90,5,,
I171,اشرح كيف تحافظ على صحتك النفسية.,Text,الصحة النفسية,4,90,5,,
I172,صف تجربة واجهت فيها تحدياً كبيراً.,Text,المرونة,4,90,5,,
I173,اشرح كيف تحفّز فريقك على تحقيق الأهداف.,Text,القيادة,4,90,5,,
I174,صف حالة أظهرت فيها التزامك بالمسؤولية.,Text,المسؤولية,4,90,5,,
I175,اشرح كيف تنظم وقتك بين مهام متعددة.,Text,التنظيم,4,90,5,,
I176,صف موقفاً طورت فيه مهارة جديدة.,Text,التعلم الذاتي,4,90,5,,
I177,اشرح كيف تدير الخلافات مع الآخرين.,Text,حل المشكلات,4,90,5,,
I178,ما هو العنصر الكيميائي الذي رمزه Fe؟,MCQ,المعرفة العلمية,2,30,1,الحديد,الحديد|الألمنيوم|النحاس|الزنك
I179,كم عدد أيام السنة الكبيسة؟,MCQ,المعرفة العامة,1,20,1,366,366|364|365|360
I180,ما هي عاصمة أستراليا؟,MCQ,المعرفة الجغرافية,2,30,1,كانبيرا,كانبيرا|سيدني|ملبورن|أديلايد
I181,من هو مؤلف رواية الحرب والسلام؟,MCQ,الأدب,3,30,1,تولستوي,تولستوي|دوستويفسكي|تشيخوف|غوركي
I182,ما هو الغاز الذي يتنفسه الإنسان للبقاء على قيد الحياة؟,MCQ,المعرفة العلمية,1,20,1,الأكسجين,الأكسجين|ثاني أكسيد الكربون|النيتروجين|الهيدروجين
I183,كم عدد القارات في العالم؟,MCQ,المعرفة العامة,1,20,1,7,7|6|5|4
I184,ما هو الحيوان الذي يُعرف بملك الغابة؟,MCQ,المعرفة العامة,1,20,1,الأسد,الأسد|النمر|الفهد|الفيل
I185,ما هو عدد الأعصاب في الجسم؟,MCQ,الصحة الجسدية,2,30,1,100,100|80|120|90
I186,أي من هذه المهارات يعتبرها الأكثر أهمية في حياتك المهنية؟,MCQ,التعلم الذاتي,2,30,1,التفكير النقدي,التفكير النقدي|التواصل|القيادة|التنظيم
I187,أي من هذه الحيوانات يصنف من الثدييات؟,MCQ,المعرفة العلمية,2,30,1,الحوت,الحوت|التمساح|البطة|السمكة
I188,رتب مراحل النوم التالية: النوم الخفيف، حركة العين السريعة، النوم العميق.,ORDERING,الصحة الجسدية,3,60,5,1|3|2,
I189,إذا كان لديك 200 دينار وأنفقت 80 دينار، كم يتبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,120,
I190,كيف تقيم قدرتك على ضبط نفسك عند الغضب؟,LikertAgreement,الذكاء العاطفي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I191,كم مرة تستخدم الحاسوب لأكثر من 4 ساعات يومياً؟,Frequency,السلوك الرقمي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I192,اشرح كيف يمكن للتكنولوجيا أن تحسن حياتك اليومية.,Text,التفكير النقدي,4,90,5,,
