ItemCode,TextAr,PatternId,PatternKey,PatternNameAr,SubId,SubKey,SubNameAr,Type,Reverse,TimeLimitSeconds,Weight,CorrectAnswer,Options
I022,أفضل التعلم من خلال الممارسة العملية والتجريب,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I023,أستوعب المعلومات بشكل أفضل عند الاستماع والمناقشة,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I024,أجد صعوبة في التعلم من خلال القراءة فقط,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I025,لا أفضل التعلم النظري دون تطبيق عملي,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I026,أحتاج إلى تدوين الملاحظات لفهم المعلومات الجديدة,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,LikertAgreement,0,45,1,,
I027,أتعلم بفعالية عند العمل ضمن مجموعات,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,LikertAgreement,0,45,1,,
I028,أشعر بالملل من المحاضرات الطويلة,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,LikertAgreement,1,45,1,,
I029,أستطيع التعلم دون الحاجة لكتابة الملاحظات,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,LikertAgreement,1,45,1,,
I030,أفضل التعلم الذاتي على التعلم الجماعي,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,LikertAgreement,1,45,1,,
I031,أمتلك قدرة عالية على التعبير اللغوي والكتابي,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I032,أستطيع حل المسائل الرياضية والمنطقية بسهولة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I033,أتخيل الأشياء والأماكن بوضوح في ذهني,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I034,أجد صعوبة في التعبير عن أفكاري كتابيًا,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I035,أواجه تحديات في المسائل التي تتطلب تفكيرًا منطقيًا,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I036,أتحرك بتناسق وأجيد الأنشطة الحركية,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,LikertAgreement,0,45,1,,
I037,أفهم مشاعر الآخرين وأتواصل معهم بفعالية,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,LikertAgreement,0,45,1,,
I038,أجد صعوبة في تخيل الأشياء المكانية,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,LikertAgreement,1,45,1,,
I039,لا أجيد الأنشطة التي تتطلب تنسيقًا حركيًا,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,LikertAgreement,1,45,1,,
I040,أجد صعوبة في فهم مشاعر الآخرين,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S1,multiple_intelligences,الذكاءات المتعددة,LikertAgreement,1,45,1,,
I041,أتذكر التفاصيل الدقيقة للأحداث الماضية,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I042,أستطيع حفظ المعلومات الجديدة بسرعة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I043,أتذكر الأسماء والوجوه بسهولة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I044,أنسى التفاصيل بسرعة بعد معرفتها,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I045,أحتاج لتكرار المعلومات عدة مرات لحفظها,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I046,أستطيع استرجاع المعلومات عند الحاجة إليها,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,LikertAgreement,0,45,1,,
I047,أحتفظ بالذكريات لفترات طويلة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,LikertAgreement,0,45,1,,
I048,أجد صعوبة في تذكر أسماء الأشخاص,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,LikertAgreement,1,45,1,,
I049,أواجه صعوبة في استرجاع المعلومات في الوقت المناسب,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,LikertAgreement,1,45,1,,
I050,تتلاشى ذكرياتي بسرعة مع مرور الوقت,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S2,memory,الذاكرة,LikertAgreement,1,45,1,,
I051,أستطيع التركيز على مهمة واحدة لفترات طويلة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I052,أحافظ على انتباهي حتى في البيئات المشتتة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I053,أنتبه للتفاصيل الدقيقة في عملي,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I054,أشعر بالتشتت بسهولة عند العمل على مهمة واحدة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I055,تؤثر المشتتات الخارجية على تركيزي بشكل كبير,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I056,أستطيع التركيز على عدة مهام في نفس الوقت,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,LikertAgreement,0,45,1,,
I057,أعود بسهولة للتركيز بعد المقاطعة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,LikertAgreement,0,45,1,,
I058,أغفل التفاصيل الصغيرة في المهام التي أقوم بها,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,LikertAgreement,1,45,1,,
I059,أجد صعوبة في التعامل مع عدة مهام في وقت واحد,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,LikertAgreement,1,45,1,,
I060,أحتاج وقتًا طويلاً لاستعادة تركيزي بعد المقاطعة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S3,attention,الانتباه والتركيز,LikertAgreement,1,45,1,,
I061,أقترح أفكارًا إبداعية وغير تقليدية,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I062,أستمتع بحل المشكلات بطرق مبتكرة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I063,أرى العلاقات والأنماط التي لا يراها الآخرون,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I064,أفضل اتباع الطرق التقليدية المجربة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I065,أجد صعوبة في ابتكار حلول جديدة للمشكلات,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I066,أتخيل حلولاً متعددة للمشكلة الواحدة,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,LikertAgreement,0,45,1,,
I067,أحب التفكير خارج الصندوق,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,LikertAgreement,0,45,1,,
I068,أركز على الحقائق الواضحة دون البحث عن أنماط,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,LikertAgreement,1,45,1,,
I069,أفضل التقيد بحل واحد مثبت للمشكلات,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,LikertAgreement,1,45,1,,
I070,أجد صعوبة في التفكير الإبداعي,P2,cognitive_mental,القدرات المعرفية والعقلية,P2_S4,creativity,الإبداع والابتكار,LikertAgreement,1,45,1,,
I071,أتعامل مع المواقف الضاغطة بهدوء وفعالية,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I072,أستخدم استراتيجيات محددة لإدارة التوتر,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I073,أحافظ على توازني النفسي في ظل الضغوط,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I074,أشعر بالإرهاق بسرعة عند مواجهة الضغوط,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I075,لا أملك استراتيجيات فعالة لإدارة التوتر,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I076,أتعرف على علامات التوتر مبكرًا وأتصرف,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,LikertAgreement,0,45,1,,
I077,أستطيع الأداء الجيد حتى تحت الضغط,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,LikertAgreement,0,45,1,,
I078,يؤثر التوتر على أدائي وحياتي اليومية,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,LikertAgreement,1,45,1,,
I079,أتجاهل علامات التوتر حتى تصبح شديدة,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,LikertAgreement,1,45,1,,
I080,ينخفض أدائي بشكل ملحوظ تحت الضغط,P3,psychological_patterns,الأنماط النفسية,P3_S1,stress_management,إدارة التوتر,LikertAgreement,1,45,1,,
I081,أشعر بالهدوء والاطمئنان في معظم المواقف,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I082,أتحكم في مخاوفي ولا أدعها تسيطر علي,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I083,أواجه المواقف الجديدة دون قلق مفرط,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I084,أشعر بالقلق والتوتر في معظم الأوقات,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I085,تسيطر علي المخاوف وتؤثر على قراراتي,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I086,أنام بشكل جيد ولا أقلق بشأن المستقبل,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,LikertAgreement,0,45,1,,
I087,أشعر بالثقة عند مواجهة التحديات,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,LikertAgreement,0,45,1,,
I088,أشعر بالقلق الشديد عند مواجهة مواقف جديدة,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,LikertAgreement,1,45,1,,
I089,أعاني من صعوبة النوم بسبب القلق,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,LikertAgreement,1,45,1,,
I090,أفتقد الثقة عند مواجهة التحديات,P3,psychological_patterns,الأنماط النفسية,P3_S2,anxiety,القلق,LikertAgreement,1,45,1,,
I091,أتعافى بسرعة من الفشل والإحباطات,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I092,أتعلم من الصعوبات وأصبح أقوى,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I093,أحافظ على تفاؤلي حتى في الأوقات الصعبة,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I094,أحتاج وقتًا طويلاً للتعافي من الفشل,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I095,تضعفني الصعوبات ولا أتعلم منها,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I096,أتكيف بسهولة مع التغييرات غير المتوقعة,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,LikertAgreement,0,45,1,,
I097,أثق بقدرتي على التغلب على العقبات,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,LikertAgreement,0,45,1,,
I098,أفقد الأمل بسهولة في الأوقات الصعبة,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,LikertAgreement,1,45,1,,
I099,أجد صعوبة كبيرة في التكيف مع التغييرات,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,LikertAgreement,1,45,1,,
I100,أشك في قدرتي على التغلب على المشكلات,P3,psychological_patterns,الأنماط النفسية,P3_S3,resilience,المرونة النفسية,LikertAgreement,1,45,1,,
I101,أفهم مشاعري وأسبابها بوضوح,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I102,أتحكم في انفعالاتي في المواقف الصعبة,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I103,أتعاطف مع مشاعر الآخرين وأفهمها,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I104,أجد صعوبة في فهم مشاعري الخاصة,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I105,أفقد السيطرة على انفعالاتي بسهولة,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I106,أستطيع قراءة لغة الجسد والإشارات غير اللفظية,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,LikertAgreement,0,45,1,,
I107,أستخدم مشاعري بشكل إيجابي لتحفيز نفسي,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,LikertAgreement,0,45,1,,
I108,أتجاهل مشاعر الآخرين في كثير من الأحيان,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,LikertAgreement,1,45,1,,
I109,أجد صعوبة في فهم لغة الجسد,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,LikertAgreement,1,45,1,,
I110,تعيقني مشاعري عن تحقيق أهدافي,P3,psychological_patterns,الأنماط النفسية,P3_S4,emotional_intelligence,الذكاء العاطفي,LikertAgreement,1,45,1,,
I111,أتكيف بسرعة مع البيئات والمواقف الجديدة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I112,أتقبل التغيير وأراه فرصة للنمو,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I113,أستطيع تعديل أسلوبي بما يناسب الموقف,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I114,أجد صعوبة في التأقلم مع البيئات الجديدة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I115,أقاوم التغيير وأفضل الثبات,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I116,أتعامل مع الغموض والعدم اليقين بمرونة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,LikertAgreement,0,45,1,,
I117,أتعلم من التجارب الجديدة بسرعة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,LikertAgreement,0,45,1,,
I118,أواجه صعوبة في تغيير أسلوبي,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,LikertAgreement,1,45,1,,
I119,أشعر بعدم الراحة في المواقف الغامضة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,LikertAgreement,1,45,1,,
I120,أحتاج وقتًا طويلاً لأستفيد من التجارب الجديدة,P4,behavioral_patterns,الأنماط السلوكية,P4_S1,adaptation,التكيف,LikertAgreement,1,45,1,,
I121,أستطيع إقناع الآخرين بأفكاري ووجهات نظري,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I122,أقود الفرق بفعالية نحو تحقيق الأهداف,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I123,ألهم الآخرين للعمل بحماس وتفانٍ,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I124,أجد صعوبة في إقناع الآخرين بوجهة نظري,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I125,أفضل أن يقود غيري المشاريع والفرق,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I126,أتخذ المبادرة في المواقف التي تتطلب قيادة,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,LikertAgreement,0,45,1,,
I127,أؤثر إيجابيًا على سلوك وأداء الآخرين,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,LikertAgreement,0,45,1,,
I128,أفتقد القدرة على تحفيز الآخرين,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,LikertAgreement,1,45,1,,
I129,أتجنب المواقف التي تتطلب قيادة,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,LikertAgreement,1,45,1,,
I130,لا أرى تأثيرًا واضحًا لي على الآخرين,P4,behavioral_patterns,الأنماط السلوكية,P4_S2,influence_leadership,القدرة على التأثير والقيادة,LikertAgreement,1,45,1,,
I131,أتحكم في غضبي وأعبر عنه بطريقة بناءة,P4,behavioral_patterns,الأنماط السلوكية,P4_S3,anger_control,ضبط الانفعالات والغضب,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I132,أحافظ على هدوئي حتى في المواقف المحبطة,P4,behavioral_patterns,الأنماط السلوكية,P4_S3,anger_control,ضبط الانفعالات والغضب,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I133,أفكر قبل أن أتصرف عندما أشعر بالغضب,P4,behavioral_patterns,الأنماط السلوكية,P4_S3,anger_control,ضبط الانفعالات والغضب,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I134,أفقد السيطرة على غضبي بسهولة,P4,behavioral_patterns,الأنماط السلوكية,P4_S3,anger_control,ضبط الانفعالات والغضب,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
