item_id,text_ar,type,dimension_tags,difficulty,time_limit_seconds,max_score,correct_answer
I044,رتب مراحل تطور الحاسوب: الترانزستور، الصمامات الحرارية، الدوائر المتكاملة.,ORDERING,المعرفة التكنولوجية,4,90,5,2,1,3
I045,إذا كان طول المربع 7 سم، ما محيطه؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,28
I046,كيف تقيم قدرتك على اتخاذ القرارات الصعبة؟,LIKERT,القيادة,4,60,5,
I047,ما هي السنة التي انتهت فيها الحرب العالمية الثانية؟,MCQ,المعرفة التاريخية,3,45,1,1945
I048,اشرح مفهوم الابتكار في بيئة العمل.,TEXT,الإبداع,4,90,5,
I049,رتب الوحدات التالية حسب حجمها من الأصغر للأكبر: القرية، المدينة، الحي، الدولة.,ORDERING,المعرفة الجغرافية,2,45,5,3,1,2,4
I050,إذا كان لديك 24 تفاحة وأعطيت ثلثها، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,16
I051,كم مرة تسافر في السنة؟,LIKERT,الاهتمامات الشخصية,2,30,5,
I052,ما هو الغاز الأكثر وفرة في الغلاف الجوي للأرض؟,MCQ,المعرفة العلمية,3,45,1,النيتروجين
I053,صف كيف تتعامل مع الفشل.,TEXT,الصحة النفسية,4,90,5,
I054,رتب مراحل نمو الإنسان: الطفولة، المراهقة، الشيخوخة، الرشد.,ORDERING,المعرفة البيولوجية,2,45,5,1,2,4,3
I055,إذا كان لديك 100 ريال وزدتها بنسبة 25%، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,125
I056,كيف تقيم قدرتك على حل المشكلات المعقدة؟,LIKERT,حل المشكلات,4,60,5,
I057,من هو مخترع المصباح الكهربائي؟,MCQ,المعرفة التاريخية,2,30,1,توماس إديسون
I058,اشرح أهمية العمل الجماعي في إنجاز المشاريع.,TEXT,القيادة,3,60,5,
I059,رتب مراحل تطور الكتابة: الطباعة، الكتابة اليدوية، الطباعة الرقمية.,ORDERING,المعرفة التاريخية,3,60,5,2,1,3
I060,إذا كان لديك 50 ديناراً وأنفقت 10 دنانير، ثم أنفقت نصف المتبقي، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,20
I061,كم ساعة تقضي في القراءة أسبوعياً؟,LIKERT,التعلم الذاتي,2,30,5,
I062,ما هي أصغر وحدة في المادة؟,MCQ,المعرفة العلمية,3,45,1,الذرة
I063,صف كيف تتعامل مع تغيرات بيئة العمل.,TEXT,المرونة,4,90,5,
I064,رتب الأحداث التالية حسب ترتيبها الزمني: ظهور الإسلام، الحرب العالمية الأولى، الثورة الصناعية.,ORDERING,المعرفة التاريخية,4,90,5,1,3,2
I065,إذا كان لديك 12 صندوقاً وكل صندوق يحتوي على 6 أقلام، كم عدد الأقلام لديك؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,72
I066,كيف تقيم قدرتك على الإصغاء للآخرين؟,LIKERT,الذكاء العاطفي,3,45,5,
I067,ما هو أعلى جبل في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,جبل إفرست
I068,اشرح مفهوم النزاهة في العمل.,TEXT,الأخلاق,4,90,5,
I069,رتب مراحل تطور الإنترنت: الويب 1.0، الويب 2.0، الويب 3.0.,ORDERING,المعرفة التكنولوجية,4,90,5,1,2,3
I070,إذا كان لديك 80 ريالاً وأنفقت ربعها، ثم أنفقت 10 ريال من المتبقي، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,50
I071,كم مرة تزور المكتبة في الشهر؟,LIKERT,التعلم الذاتي,2,30,5,
I072,ما هي السرعة التي تدور بها الأرض حول الشمس؟,MCQ,المعرفة العلمية,5,90,1,30 كم/ثانية
I073,صف كيف تتعامل مع المواقف الطارئة.,TEXT,حل المشكلات,4,90,5,
I074,رتب مراحل تطور الاتصالات: التلغراف، الهاتف، الإنترنت.,ORDERING,المعرفة التكنولوجية,3,60,5,1,2,3
I075,إذا كان لديك 60 تفاحة وأعطيت 15 صديقاً كل منهم 3 تفاحات، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,15
I076,كيف تقيم قدرتك على التكيف مع بيئات جديدة؟,LIKERT,المرونة,3,45,5,
I077,من هو مؤسس نظرية النسبية؟,MCQ,المعرفة العلمية,5,90,1,ألبرت أينشتاين
I078,اشرح مفهوم المسؤولية في القيادة.,TEXT,القيادة,4,90,5,
I079,رتب مراحل تطور الحاسوب: الآلة الحاسبة، الحاسوب الشخصي، الحاسوب اللوحي.,ORDERING,المعرفة التكنولوجية,3,60,5,1,2,3
I080,إذا كان لديك 100 ريال واستثمرتها بمعدل 10% سنوياً لمدة عامين، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,4,60,1,121
I081,كم مرة تشارك في الأنشطة التطوعية في السنة؟,LIKERT,المسؤولية الاجتماعية,2,30,5,
I082,ما هو عدد العظام في جسم الإنسان البالغ؟,MCQ,المعرفة البيولوجية,3,45,1,206
I083,صف كيف تتعامل مع الاختلافات الثقافية.,TEXT,الذكاء العاطفي,4,90,5,
I084,رتب مراحل تطور الطباعة: الطباعة الحجرية، الطباعة بالحروف المتحركة، الطباعة الرقمية.,ORDERING,المعرفة التاريخية,4,90,5,1,2,3
I085,إذا كان لديك 50 صندوقاً وكل صندوق يحتوي على 24 عنبراً، كم عدد العنابر لديك؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,1200
I086,كيف تقيم قدرتك على التفكير الإبداعي؟,LIKERT,الإبداع,4,60,5,
I087,ما هي السنة التي هبط فيها الإنسان على القمر؟,MCQ,المعرفة التاريخية,3,45,1,1969
I088,اشرح مفهوم التعلم المستمر.,TEXT,التعلم الذاتي,4,90,5,
I089,رتب مراحل تطور الطاقة: الفحم، النفط، الطاقة النووية، الطاقة المتجددة.,ORDERING,المعرفة العلمية,4,90,5,1,2,3,4
I090,إذا كان لديك 100 ريال واستثمرتها بمعدل 5% ربع سنوياً لمدة عام، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,90,1,105.08
I091,كم مرة تحضر ندوات أو مؤتمرات في السنة؟,LIKERT,التعلم الذاتي,2,30,5,
I092,ما هو عدد الكروموسومات في خلية الإنسان؟,MCQ,المعرفة البيولوجية,4,60,1,46
I093,صف كيف تتعامل مع الأزمات.,TEXT,حل المشكلات,5,120,5,
I094,رتب مراحل تطور الاتصالات: smoke signals, telegraph, internet, satellite.,ORDERING,المعرفة التكنولوجية,5,90,5,1,2,3,4
I095,إذا كان لديك 1000 ريال واستثمرتها بمعدل 8% سنوياً لمدة 3 سنوات، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,90,1,1259.71
I096,كيف تقيم قدرتك على التخطيط الاستراتيجي؟,LIKERT,القيادة,5,90,5,
I097,ما هي السرعة التي تدور بها الأرض حول محورها؟,MCQ,المعرفة العلمية,5,90,1,1670 كم/ساعة
I098,اشرح مفهوم الاستدامة في الأعمال.,TEXT,المسؤولية الاجتماعية,5,120,5,
I099,رتب مراحل تطور الذكاء الاصطناعي: الذكاء الاصطناعي الضيق، الذكاء الاصطناعي العام، الذكاء الاصطناعي الخارق.,ORDERING,المعرفة التكنولوجية,5,90,5,1,2,3
I100,إذا كان لديك 5000 ريال واستثمرتها بمعدل 6% سنوياً لمدة 5 سنوات، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,120,1,6691.13
