item_code,text_ar,type,dimension,sub_dimension,anchors_ar,reverse,time_limit_seconds,max_score,difficulty
I020,أشعر بالملل من التعلم المستمر.,LikertAgreement,التميز الذاتي,التعلم المستمر,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I021,أتكيف بسرعة مع التغييرات في بيئة العمل.,LikertAgreement,التميز الذاتي,المرونة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I022,أتقبل وجهات النظر المختلفة بانفتاح.,LikertAgreement,التميز الذاتي,المرونة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I023,أستطيع التعامل مع المواقف غير المتوقعة بهدوء.,LikertAgreement,التميز الذاتي,المرونة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I024,أجد صعوبة في تغيير خططي عند الحاجة.,LikertAgreement,التميز الذاتي,المرونة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I025,أتعافى بسرعة من الإحباطات.,LikertAgreement,التميز الذاتي,المرونة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I026,أفهم مشاعري وأسبابها بوضوح.,LikertAgreement,التواصل والعلاقات,الذكاء العاطفي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I027,أستطيع التحكم في انفعالاتي عند الغضب.,LikertAgreement,التواصل والعلاقات,الذكاء العاطفي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I028,أتعاطف مع مشاعر الآخرين وأفهمها.,LikertAgreement,التواصل والعلاقات,الذكاء العاطفي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I029,أستطيع قراءة لغة الجسد والإشارات غير اللفظية.,LikertAgreement,التواصل والعلاقات,الذكاء العاطفي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I030,أتجاهل مشاعر الآخرين في كثير من الأحيان.,LikertAgreement,التواصل والعلاقات,الذكاء العاطفي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I031,أعبر عن أفكاري بوضوح ودقة.,LikertAgreement,التواصل والعلاقات,التواصل الفعال,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I032,أستمع باهتمام عندما يتحدث الآخرون.,LikertAgreement,التواصل والعلاقات,التواصل الفعال,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I033,أطرح أسئلة للتوضيح عندما لا أفهم.,LikertAgreement,التواصل والعلاقات,التواصل الفعال,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I034,أستخدم لغة مناسبة حسب الجمهور والموقف.,LikertAgreement,التواصل والعلاقات,التواصل الفعال,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I035,أجد صعوبة في شرح أفكاري للآخرين.,LikertAgreement,التواصل والعلاقات,التواصل الفعال,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I036,أعمل بفعالية ضمن فريق لتحقيق الأهداف المشتركة.,LikertAgreement,التواصل والعلاقات,التعاون,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I037,أشارك معلوماتي وخبراتي مع زملائي.,LikertAgreement,التواصل والعلاقات,التعاون,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I038,أدعم أعضاء الفريق عندما يحتاجون للمساعدة.,LikertAgreement,التواصل والعلاقات,التعاون,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I039,أقدر مساهمات الآخرين في نجاح العمل.,LikertAgreement,التواصل والعلاقات,التعاون,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I040,أفضل العمل منفرداً على العمل الجماعي.,LikertAgreement,التواصل والعلاقات,التعاون,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I041,أتعامل مع الخلافات بطريقة هادئة وموضوعية.,LikertAgreement,التواصل والعلاقات,حل النزاعات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I042,أبحث عن حلول مربحة للطرفين في النزاعات.,LikertAgreement,التواصل والعلاقات,حل النزاعات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I043,أستمع لوجهات نظر جميع الأطراف قبل الحكم.,LikertAgreement,التواصل والعلاقات,حل النزاعات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I044,أتجنب المواجهة عند حدوث خلافات.,LikertAgreement,التواصل والعلاقات,حل النزاعات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I045,أستطيع الوساطة بين الأطراف المتنازعة.,LikertAgreement,التواصل والعلاقات,حل النزاعات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,4
I046,أبني علاقات قوية مع زملائي في العمل.,LikertAgreement,التواصل والعلاقات,بناء العلاقات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I047,أحافظ على التواصل المستمر مع شبكة معارفي.,LikertAgreement,التواصل والعلاقات,بناء العلاقات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I048,أبادر بالتعرف على أشخاص جدد في المناسبات.,LikertAgreement,التواصل والعلاقات,بناء العلاقات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I049,أجد صعوبة في بناء علاقات مهنية مستدامة.,LikertAgreement,التواصل والعلاقات,بناء العلاقات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I050,أحترم التزاماتي في علاقاتي المهنية.,LikertAgreement,التواصل والعلاقات,بناء العلاقات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I051,أتخذ قرارات صعبة بثقة وحزم.,LikertAgreement,النجاح المهني,القيادة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,4
I052,ألهم الآخرين للعمل نحو تحقيق الأهداف المشتركة.,LikertAgreement,النجاح المهني,القيادة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I053,أتحمل مسؤولية نتائج قراراتي.,LikertAgreement,النجاح المهني,القيادة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I054,أفوض المهام بفعالية للآخرين.,LikertAgreement,النجاح المهني,القيادة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I055,أتجنب قيادة المشاريع أو الفرق.,LikertAgreement,النجاح المهني,القيادة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I056,أحلل المشكلات بطريقة منهجية ومنطقية.,LikertAgreement,النجاح المهني,حل المشكلات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I057,أطور عدة خيارات قبل اختيار الحل الأمثل.,LikertAgreement,النجاح المهني,حل المشكلات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I058,أستخدم البيانات والأدلة في اتخاذ القرارات.,LikertAgreement,النجاح المهني,حل المشكلات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I059,أتعلم من حلول الآخرين للمشكلات المشابهة.,LikertAgreement,النجاح المهني,حل المشكلات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I060,أشعر بالارتباك عند مواجهة مشكلات معقدة.,LikertAgreement,النجاح المهني,حل المشكلات,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I061,أقترح أفكاراً جديدة ومبتكرة في عملي.,LikertAgreement,النجاح المهني,الإبداع والابتكار,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I062,أبحث عن طرق بديلة لتحسين العمليات الحالية.,LikertAgreement,النجاح المهني,الإبداع والابتكار,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I063,أستلهم من مصادر متنوعة لتطوير أفكاري.,LikertAgreement,النجاح المهني,الإبداع والابتكار,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I064,أجرب طرقاً غير تقليدية لحل المشكلات.,LikertAgreement,النجاح المهني,الإبداع والابتكار,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I065,أتردد في اقتراح أفكار جديدة خوفاً من الرفض.,LikertAgreement,النجاح المهني,الإبداع والابتكار,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I066,أخطط لأهدافي بعيدة المدى بوضوح.,LikertAgreement,النجاح المهني,إدارة الوقت,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I067,أرتب أولوياتي بناءً على الأهمية والاستعجال.,LikertAgreement,النجاح المهني,إدارة الوقت,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I068,أستخدم أدوات لتتبع تقدمي نحو أهدافي.,LikertAgreement,النجاح المهني,إدارة الوقت,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I069,أوازن بين المهام العاجلة والمهام طويلة الأمد.,LikertAgreement,النجاح المهني,إدارة الوقت,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I070,أضيع وقتي في مهام غير مهمة.,LikertAgreement,النجاح المهني,إدارة الوقت,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I071,أضع خططاً استراتيجية لتحقيق النجاح.,LikertAgreement,النجاح المهني,التخطيط الاستراتيجي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,4
I072,أحلل البيئة الخارجية والداخلية قبل التخطيط.,LikertAgreement,النجاح المهني,التخطيط الاستراتيجي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,4
I073,أراجع وأعدل خططي بناءً على التغييرات.,LikertAgreement,النجاح المهني,التخطيط الاستراتيجي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I074,أشرك الآخرين في عملية التخطيط الاستراتيجي.,LikertAgreement,النجاح المهني,التخطيط الاستراتيجي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I075,أجد صعوبة في التفكير الاستراتيجي طويل الأمد.,LikertAgreement,النجاح المهني,التخطيط الاستراتيجي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,4
I076,أهتم بقضايا المجتمع وأشارك في حلها.,LikertAgreement,المسؤولية الاجتماعية,الوعي المجتمعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I077,أتابع الأخبار والتطورات المجتمعية المحلية.,LikertAgreement,المسؤولية الاجتماعية,الوعي المجتمعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I078,أشارك في الأنشطة التي تخدم المجتمع.,LikertAgreement,المسؤولية الاجتماعية,الوعي المجتمعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I079,أعتقد بأهمية المسؤولية الفردية تجاه المجتمع.,LikertAgreement,المسؤولية الاجتماعية,الوعي المجتمعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I080,لا أهتم بقضايا المجتمع المحلي.,LikertAgreement,المسؤولية الاجتماعية,الوعي المجتمعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I081,أتصرف بنزاهة في جميع تعاملاتي المهنية.,LikertAgreement,المسؤولية الاجتماعية,الأخلاق المهنية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I082,أحافظ على السرية المهنية والخصوصية.,LikertAgreement,المسؤولية الاجتماعية,الأخلاق المهنية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I083,أرفض التصرفات غير الأخلاقية حتى لو كانت مربحة.,LikertAgreement,المسؤولية الاجتماعية,الأخلاق المهنية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I084,أتبع المعايير المهنية والقوانين في عملي.,LikertAgreement,المسؤولية الاجتماعية,الأخلاق المهنية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I085,أقبل بالتنازلات الأخلاقية لتحقيق النجاح.,LikertAgreement,المسؤولية الاجتماعية,الأخلاق المهنية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,3
I086,أطبق ممارسات صديقة للبيئة في حياتي اليومية.,LikertAgreement,المسؤولية الاجتماعية,الاستدامة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I087,أهتم بالحفاظ على الموارد الطبيعية.,LikertAgreement,المسؤولية الاجتماعية,الاستدامة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I088,أشجع الآخرين على تبني سلوكيات مستدامة.,LikertAgreement,المسؤولية الاجتماعية,الاستدامة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I089,أعتقد بأهمية التنمية المستدامة للأجيال القادمة.,LikertAgreement,المسؤولية الاجتماعية,الاستدامة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I090,لا أهتم بالقضايا البيئية.,LikertAgreement,المسؤولية الاجتماعية,الاستدامة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I091,أخصص وقتاً للعمل التطوعي بانتظام.,LikertAgreement,المسؤولية الاجتماعية,العمل التطوعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I092,أشارك في المبادرات المجتمعية والخيرية.,LikertAgreement,المسؤولية الاجتماعية,العمل التطوعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I093,أقدم المساعدة للمحتاجين دون مقابل.,LikertAgreement,المسؤولية الاجتماعية,العمل التطوعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I094,أشعر بالرضا عندما أساهم في خدمة المجتمع.,LikertAgreement,المسؤولية الاجتماعية,العمل التطوعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I095,لا أملك الوقت للعمل التطوعي.,LikertAgreement,المسؤولية الاجتماعية,العمل التطوعي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I096,أشارك في الانتخابات والعمليات الديمقراطية.,LikertAgreement,المسؤولية الاجتماعية,المواطنة الفاعلة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I097,أعبر عن رأيي في القضايا العامة بمسؤولية.,LikertAgreement,المسؤولية الاجتماعية,المواطنة الفاعلة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I098,أحترم الآراء المختلفة في النقاشات العامة.,LikertAgreement,المسؤولية الاجتماعية,المواطنة الفاعلة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I099,أساهم في تحسين مجتمعي بالطرق المتاحة.,LikertAgreement,المسؤولية الاجتماعية,المواطنة الفاعلة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I100,أعتقد أن المشاركة المجتمعية غير مجدية.,LikertAgreement,المسؤولية الاجتماعية,المواطنة الفاعلة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I101,أشعر بالراحة النفسية في معظم الأوقات.,LikertAgreement,الصحة والتوازن,الصحة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I102,أستطيع التعامل مع التوتر بطرق صحية.,LikertAgreement,الصحة والتوازن,الصحة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I103,أطلب المساعدة عندما أشعر بالضغط النفسي.,LikertAgreement,الصحة والتوازن,الصحة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I104,أمارس تقنيات الاسترخاء بانتظام.,LikertAgreement,الصحة والتوازن,الصحة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I105,أشعر بالقلق والاكتئاب بشكل متكرر.,LikertAgreement,الصحة والتوازن,الصحة النفسية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I106,أمارس الرياضة بانتظام للحفاظ على لياقتي.,LikertAgreement,الصحة والتوازن,الصحة الجسدية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I107,أتبع نظاماً غذائياً صحياً ومتوازناً.,LikertAgreement,الصحة والتوازن,الصحة الجسدية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I108,أحصل على قسط كافٍ من النوم يومياً.,LikertAgreement,الصحة والتوازن,الصحة الجسدية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I109,أجري فحوصات طبية دورية للوقاية.,LikertAgreement,الصحة والتوازن,الصحة الجسدية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I110,أهمل صحتي الجسدية بسبب انشغالي.,LikertAgreement,الصحة والتوازن,الصحة الجسدية,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I111,أتعرف على مسببات التوتر لدي وأتجنبها.,LikertAgreement,الصحة والتوازن,إدارة الضغوط,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I112,أخطط لفترات راحة منتظمة خلال العمل.,LikertAgreement,الصحة والتوازن,إدارة الضغوط,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I113,أستخدم تقنيات التنفس العميق عند التوتر.,LikertAgreement,الصحة والتوازن,إدارة الضغوط,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I114,أفصل بين المشكلات الشخصية والمهنية.,LikertAgreement,الصحة والتوازن,إدارة الضغوط,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I115,أشعر بالإرهاق المستمر بسبب الضغوط.,LikertAgreement,الصحة والتوازن,إدارة الضغوط,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I116,أوازن بين متطلبات العمل والحياة الشخصية.,LikertAgreement,الصحة والتوازن,التوازن بين العمل والحياة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I117,أخصص وقتاً كافياً لعائلتي وأصدقائي.,LikertAgreement,الصحة والتوازن,التوازن بين العمل والحياة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I118,أمارس هواياتي واهتماماتي بانتظام.,LikertAgreement,الصحة والتوازن,التوازن بين العمل والحياة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I119,أضع حدوداً واضحة بين العمل والحياة الشخصية.,LikertAgreement,الصحة والتوازن,التوازن بين العمل والحياة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I120,يسيطر العمل على معظم وقتي الشخصي.,LikertAgreement,الصحة والتوازن,التوازن بين العمل والحياة,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
